,City ID,City Name,Country,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind (mph)
0,3833367,Ushuaia,AR,-54.8,-68.3,32.0,94,90,24.16
1,2206939,Bluff,NZ,-46.6,168.33,50.95,79,100,17.05
2,2074865,Carnarvon,AU,-24.87,113.63,73.4,27,0,8.05
3,5282297,Bethel,US,41.37,-73.41,70.9,88,1,4.7
4,3530691,Chunhuhub,MX,19.55,-88.68,80.38,81,100,5.3
5,3430863,Mar del Plata,AR,-38.0,-57.56,41.52,73,40,14.99
6,546105,Nikolskoye,RU,59.7,30.79,53.19,87,75,6.71
7,5882953,Aklavik,CA,68.22,-135.01,68.0,42,75,6.93
8,2155415,New Norfolk,AU,-42.78,147.06,50.16,78,100,2.01
9,4030556,Rikitea,PF,-23.12,-134.97,68.5,76,0,19.46
10,3874787,Punta Arenas,CL,-53.15,-70.92,35.29,91,100,12.75
11,2075265,Busselton,AU,-33.65,115.33,60.03,51,98,21.21
12,4032243,Vaini,TO,-21.2,-175.2,75.2,83,75,12.75
13,3450909,Rondonópolis,BR,-16.47,-54.64,70.52,39,32,2.42
14,6201424,Mataura,NZ,-46.19,168.86,49.51,83,100,7.45
15,933995,Souillac,MU,-20.52,57.52,68.0,52,75,18.34
16,2126123,Chokurdakh,RU,70.63,147.92,80.13,37,51,5.01
17,2638520,Sanquhar,GB,55.37,-3.92,59.0,93,75,6.93
18,2645826,Kendal,GB,54.33,-2.75,60.98,95,100,1.99
19,3466704,Castro,BR,-24.79,-50.01,55.38,75,0,4.5
20,5106841,Albany,US,42.6,-73.97,71.24,69,0,1.97
21,2457161,Gao,ML,16.64,1.64,85.78,56,100,15.1
22,2358382,Léo,BF,11.1,-2.1,72.07,92,56,7.94
23,56335,Giohar,SO,2.78,45.5,73.49,77,87,13.82
24,3372707,Ribeira Grande,PT,38.52,-28.7,69.94,76,0,7.61
25,964432,Port Alfred,ZA,-33.59,26.89,66.69,26,0,13.11
26,2630299,Hofn,IS,64.25,-15.21,49.32,64,100,13.44
27,2121385,Severo-Kuril'sk,RU,50.68,156.12,53.82,77,100,7.38
28,3356832,Henties Bay,NA,-22.12,14.28,66.0,23,0,1.01
29,2654092,Caernarfon,GB,53.14,-4.27,59.29,93,100,19.46
30,2335204,Kano,NG,12.0,8.52,73.4,94,80,5.82
31,2264557,Ponta do Sol,PT,32.67,-17.1,66.47,59,0,4.47
32,1701394,Manuk Mangkaw,PH,4.8,119.85,82.98,70,62,4.09
33,2729907,Longyearbyen,SJ,78.22,15.64,54.66,78,0,5.68
34,2126710,Beringovskiy,RU,63.05,179.32,53.55,69,98,7.78
35,3985710,Cabo San Lucas,MX,22.89,-109.91,82.27,73,5,17.22
36,2163355,Hobart,AU,-42.88,147.33,53.35,57,75,10.29
37,2110227,Butaritari,KI,3.07,172.79,83.14,75,44,18.88
38,3461638,Iaçu,BR,-12.77,-40.21,64.51,87,2,2.95
39,509401,Pirogovo,RU,56.78,53.15,60.01,98,86,1.99
40,1507390,Dikson,RU,73.51,80.55,41.81,96,100,15.82
41,5746545,Portland,US,45.52,-122.68,67.33,46,20,8.05
42,3369157,Cape Town,ZA,-33.93,18.42,49.01,66,0,5.82
43,779683,Hammerfest,NO,70.66,23.68,60.8,87,0,21.92
44,5983720,Iqaluit,CA,63.75,-68.51,44.29,87,75,2.24
45,5924351,Clyde River,CA,70.47,-68.59,42.8,93,40,5.82
46,2108502,Honiara,SB,-9.43,159.95,84.2,74,75,14.99
47,3382160,Cayenne,GF,4.93,-52.33,78.8,88,94,8.61
48,4035715,Avarua,CK,-21.21,-159.78,73.4,73,100,8.05
49,1282256,Hithadhoo,MV,-0.6,73.08,79.02,82,100,11.72
50,2262987,Sertã,PT,39.81,-8.1,62.82,85,4,1.01
51,5848280,Kapaa,US,22.08,-159.32,81.72,74,20,18.34
52,6170031,Tuktoyaktuk,CA,69.45,-133.04,62.6,63,75,4.7
53,3366880,Hermanus,ZA,-34.42,19.23,59.0,48,0,3.0
54,933535,Letlhakane,BW,-21.42,25.58,48.33,77,0,9.98
